timestamp,direction,entry_price,target_price,exit_price,hit_target,pnl,premium_paid,weekday,hour_bin,is_news_day,event_type,proximity,win,day_type
2024-01-03 09:31:00-05:00,long,400.13,401.35139285714286,399.31,False,-50.675999999999476,1028.0339999999997,Wednesday,09:30-10:29,False,,,False,Normal Day
2024-01-03 10:59:00-05:00,long,399.54,400.63989285714285,398.84,False,-393.31200000000115,991.5720000000011,Wednesday,10:30-11:29,False,,,False,Normal Day
2024-01-03 14:26:00-05:00,long,399.53,401.1823571428571,398.58,False,-393.08399999999835,990.9539999999984,Wednesday,13:30-14:29,False,,,False,Normal Day
2024-01-04 06:39:00-05:00,short,398.71,398.2885714285714,398.2885714285714,True,6567.892971428598,143.5356,Thursday,15:30-16:00,False,,,True,Normal Day
2024-01-04 08:02:00-05:00,long,399.33,400.8305,396.7,False,-502.55399999999895,978.5939999999989,Thursday,15:30-16:00,False,,,False,Normal Day
2024-01-05 09:31:00-05:00,long,396.63,397.6517857142857,397.6517857142857,True,6540.0517142857225,1111.734,Friday,09:30-10:29,True,NFP,Within 2 hours,True,News Day
2024-01-05 13:26:00-05:00,long,396.61,397.4866071428572,397.4866071428572,True,6376.109142857224,1110.4980000000007,Friday,12:30-13:29,True,NFP,Outside 2 hours,True,News Day
2024-01-05 14:48:00-05:00,short,396.65,395.73692857142856,395.73692857142856,True,3977.4834285714364,285.588,Friday,14:30-15:29,True,NFP,Outside 2 hours,True,News Day
2024-01-05 15:46:00-05:00,long,396.47,397.2967857142857,396.69,False,13.595999999998185,1101.8460000000018,Friday,15:30-16:00,True,NFP,Outside 2 hours,True,News Day
2024-01-09 13:31:00-05:00,short,405.22,404.27771428571435,405.48,False,0.09359999999998081,145.8792,Tuesday,13:30-14:29,False,,,True,Normal Day
2024-01-10 07:58:00-05:00,short,406.13,405.7585714285714,405.7585714285714,True,3949.014971428628,292.4136,Wednesday,15:30-16:00,False,,,True,Normal Day
2024-01-10 08:30:00-05:00,short,406.03,405.52675,405.52675,True,4180.9084000000075,292.3415999999999,Wednesday,15:30-16:00,False,,,True,Normal Day
2024-01-10 09:48:00-05:00,short,406.2,404.8888214285714,407.2001,False,0.720072000000016,292.464,Wednesday,09:30-10:29,False,,,True,Normal Day
2024-01-10 13:01:00-05:00,short,407.61,407.0835,407.0835,True,7769.760399999986,146.7396,Wednesday,12:30-13:29,False,,,True,Normal Day
2024-01-11 08:28:00-05:00,long,410.57,411.6925357142857,409.75,False,-50.67599999999982,1073.2259999999997,Thursday,15:30-16:00,True,CPI,Within 30 minutes,False,News Day
2024-01-11 13:49:00-05:00,long,407.78,408.5267857142857,408.5267857142857,True,2915.1157142857223,611.67,Thursday,13:30-14:29,True,CPI,Outside 2 hours,True,News Day
2024-01-11 15:53:00-05:00,long,408.91,409.9895714285714,409.18,False,373.9590000000004,613.365,Thursday,15:30-16:00,True,CPI,Outside 2 hours,True,News Day
2024-01-12 08:31:00-05:00,long,409.12,410.00928571428574,410.00928571428574,True,4025.669714285738,983.6160000000003,Friday,15:30-16:00,False,,,True,Normal Day
2024-01-12 10:00:00-05:00,short,409.94,408.4758214285714,408.4758214285714,True,6376.600171428592,147.5784,Friday,09:30-10:29,False,,,True,Normal Day
2024-01-12 11:38:00-05:00,short,408.8,407.63521428571426,408.75,False,-0.01799999999997226,147.16799999999998,Friday,11:30-12:29,False,,,False,Normal Day
2024-01-12 13:21:00-05:00,short,409.28,408.62328571428566,409.76,False,0.17279999999999518,147.3408,Friday,12:30-13:29,False,,,True,Normal Day
2024-01-12 14:34:00-05:00,short,409.11,408.13800000000003,409.36,False,0.08999999999997499,147.27960000000002,Friday,14:30-15:29,False,,,True,Normal Day
2024-01-16 12:29:00-05:00,short,408.29,407.20707142857145,408.86,False,0.20519999999999072,146.98440000000002,Tuesday,11:30-12:29,False,,,True,Normal Day
2024-01-17 11:21:00-05:00,long,405.79,406.8355357142857,405.734,False,-3.460800000002564,1077.8220000000013,Wednesday,10:30-11:29,False,,,False,Normal Day
2024-01-18 11:01:00-05:00,short,411.55,410.2792857142858,411.75,False,0.14400000000000546,296.31600000000003,Thursday,10:30-11:29,False,,,True,Normal Day
2024-01-18 12:04:00-05:00,short,411.49,410.2458571428571,410.2458571428571,True,4457.870057142881,296.2728,Thursday,11:30-12:29,False,,,True,Normal Day
2024-01-18 19:38:00-05:00,long,414.26,414.5668214285714,414.5668214285714,True,3565.553428571416,1001.2679999999995,Thursday,15:30-16:00,False,,,True,Normal Day
2024-01-23 09:32:00-05:00,short,421.64,420.74007142857147,420.74007142857147,True,3956.3477714285314,303.5808,Tuesday,09:30-10:29,False,,,True,Normal Day
2024-01-23 10:14:00-05:00,short,422.04,420.78328571428574,421.68,False,-0.2592000000000212,303.8688,Tuesday,09:30-10:29,False,,,False,Normal Day
2024-01-23 13:33:00-05:00,short,421.92,421.34457142857144,421.94,False,0.01439999999996644,303.7824,Tuesday,13:30-14:29,False,,,True,Normal Day
2024-01-24 08:04:00-05:00,long,426.9,429.5117857142857,426.8,False,-6.17999999999779,1182.4199999999985,Wednesday,15:30-16:00,False,,,False,Normal Day
2024-01-24 09:31:00-05:00,short,427.07,426.48075000000006,426.48075000000006,True,3211.7595999999426,307.4904,Wednesday,09:30-10:29,False,,,True,Normal Day
2024-01-24 14:11:00-05:00,short,427.4,426.45025,426.45025,True,3242.022000000017,307.728,Wednesday,13:30-14:29,False,,,True,Normal Day
