symbol,entry_time,exit_time,direction,entry_price,exit_price,target,exit_reason,contracts,entry_cost,exit_value,pnl,won,entry_time_et,weekday,weekday_name,hour,minute,hour_bin,trade_date,news_day,news_event_type,minutes_from_news,abs_minutes_from_news,within_30m,within_1h,within_2h
QQQ,2024-01-02 18:56:00+00:00,2024-01-02 19:53:00+00:00,SHORT,402.058,401.275,401.23339285714286,TARGET,4,1755.3422196178128,1712.4772187000592,-42.865000917753605,False,2024-01-02 13:56:00-05:00,1,Tuesday,13,56,13:30-14:29,2024-01-02,False,,,,False,False,False
QQQ,2024-01-02 20:49:00+00:00,2024-01-02 20:51:00+00:00,LONG,401.23,401.951,401.942,TARGET,10,2475.4379414516643,3222.572089130065,747.1341476784005,True,2024-01-02 15:49:00-05:00,1,Tuesday,15,49,15:30-16:00,2024-01-02,False,,,,False,False,False
QQQ,2024-01-03 14:35:00+00:00,2024-01-03 15:35:00+00:00,LONG,400.4501,399.305,402.2803857142857,TIME,2,1373.9878648668207,1103.3236464051458,-270.66421846167486,False,2024-01-03 09:35:00-05:00,2,Wednesday,9,35,09:30-10:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 18:31:00+00:00,2024-01-03 19:04:00+00:00,SHORT,399.35,398.64,398.70892857142854,TARGET,4,1871.6588373393113,1969.1288165982894,97.46997925897813,True,2024-01-03 13:31:00-05:00,2,Wednesday,13,31,13:30-14:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 19:00:00+00:00,2024-01-03 19:05:00+00:00,SHORT,399.23,398.19,398.3016071428572,TARGET,4,1724.3990320974622,2087.6978093340094,363.29877723654727,True,2024-01-03 14:00:00-05:00,2,Wednesday,14,0,14:30-15:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 19:01:00+00:00,2024-01-03 19:05:00+00:00,SHORT,399.33,398.19,398.3142500000001,TARGET,6,2579.058898528736,3188.6028879007968,609.5439893720609,True,2024-01-03 14:01:00-05:00,2,Wednesday,14,1,14:30-15:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 19:06:00+00:00,2024-01-03 20:06:00+00:00,LONG,398.8,399.11,400.46574999999996,TIME,6,2535.6921182083256,2136.6781974381283,-399.0139207701973,False,2024-01-03 14:06:00-05:00,2,Wednesday,14,6,14:30-15:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 19:07:00+00:00,2024-01-03 20:07:00+00:00,LONG,399.2311,398.95,401.0878142857143,TIME,6,2529.567216498107,1772.0674526927464,-757.4997638053605,False,2024-01-03 14:07:00-05:00,2,Wednesday,14,7,14:30-15:29,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 20:01:00+00:00,2024-01-03 20:50:00+00:00,SHORT,399.2,398.11,398.12671428571423,TARGET,6,2010.8040072231595,2154.3092868431213,143.5052796199618,True,2024-01-03 15:01:00-05:00,2,Wednesday,15,1,15:30-16:00,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 20:03:00+00:00,2024-01-03 20:50:00+00:00,SHORT,399.27,398.11,398.1503214285714,TARGET,6,1987.9561181401477,2197.789014318533,209.83289617838545,True,2024-01-03 15:03:00-05:00,2,Wednesday,15,3,15:30-16:00,2024-01-03,False,,,,False,False,False
QQQ,2024-01-03 20:29:00+00:00,2024-01-03 21:30:00+00:00,LONG,398.78,398.23,399.7122142857142,TIME,8,2421.1911466165743,360.0000000000364,-2061.191146616538,False,2024-01-03 15:29:00-05:00,2,Wednesday,15,29,15:30-16:00,2024-01-03,False,,,,False,False,False
QQQ,2024-01-04 00:36:00+00:00,2024-01-04 09:08:00+00:00,LONG,398.69,399.03,398.91142857142853,TARGET,2,2081.915986247686,1692.1242102402707,-389.79177600741514,False,2024-01-03 19:36:00-05:00,2,Wednesday,19,36,Other,2024-01-03,False,,,,False,False,False
QQQ,2024-01-04 12:24:00+00:00,2024-01-04 13:00:00+00:00,LONG,397.99,397.86,398.5039285714286,TARGET,2,1426.681686891795,1362.4557605851787,-64.2259263066162,False,2024-01-04 07:24:00-05:00,3,Thursday,7,24,Other,2024-01-04,False,,,,False,False,False
QQQ,2024-01-04 13:01:00+00:00,2024-01-04 14:01:00+00:00,LONG,399.46,396.65,400.96049999999997,TIME,2,1387.1242113632968,1040.1571863875015,-346.9670249757953,False,2024-01-04 08:01:00-05:00,3,Thursday,8,1,Other,2024-01-04,False,,,,False,False,False
QQQ,2024-01-04 16:10:00+00:00,2024-01-04 17:10:00+00:00,LONG,398.87,397.97,399.86878571428576,TIME,2,1217.3943825453098,949.138235669726,-268.2561468755838,False,2024-01-04 11:10:00-05:00,3,Thursday,11,10,11:30-12:29,2024-01-04,False,,,,False,False,False
QQQ,2024-01-04 16:27:00+00:00,2024-01-04 16:46:00+00:00,SHORT,399.395,398.69,398.6156785714286,TARGET,2,1189.0565415164444,1275.6746822300565,86.61814071361209,True,2024-01-04 11:27:00-05:00,3,Thursday,11,27,11:30-12:29,2024-01-04,False,,,,False,False,False
