weekday,total_trades,total_pnl,avg_pnl,wins,win_rate,avg_return_pct,win_ci_low,win_ci_high,sample_ok
Monday,354,-19661.233033945537,-55.540206310580615,171,0.4830508474576271,-0.22216082524232245,0.43145712146575554,0.535008474668501,True
Tuesday,643,-12665.07935286791,-19.69685746946798,339,0.5272161741835147,-0.07878742987787192,0.4885795394692075,0.5655295463395641,True
Wednesday,610,-17901.84165773245,-29.34728140611877,304,0.49836065573770494,-0.1173891256244751,0.4588171646067897,0.5379246651095635,True
Thursday,629,-6963.350705857104,-11.07050986622751,354,0.5627980922098569,-0.04428203946491004,0.5237678233136422,0.6010659702042749,True
Friday,390,7650.138120210778,19.615738769771227,226,0.5794871794871795,0.0784629550790849,0.5299529846106824,0.6274707670320491,True
