proximity,total_trades,total_pnl,avg_pnl,wins,win_rate,win_ci_low,win_ci_high,avg_return_pct,sample_ok
Within 30 minutes,55,2397.930557059776,43.598737401086844,35,0.6363636363636364,0.5042276149984125,0.7506946846969275,0.17439494960434737,True
Within 1 hour,93,3174.3115952420785,34.132382744538475,63,0.6774193548387096,0.5770125881416741,0.7637505560928715,0.1365295309781539,True
Within 2 hours,189,12239.054077539153,64.75689988115954,121,0.6402116402116402,0.5696228908054883,0.7052142750410941,0.25902759952463816,True
Outside 2 hours,147,-8189.3204104251845,-55.709662655953636,65,0.4421768707482993,0.3643794281308631,0.5229194608290484,-0.22283865062381453,True
