timestamp,open,high,low,close,volume
2024-07-01 08:00:00+00:00,479.46,479.67,479.46,479.67,9173.0
2024-07-01 08:01:00+00:00,479.71,479.73,479.69,479.71,6416.0
2024-07-01 08:02:00+00:00,479.82,479.82,479.8,479.82,1070.0
2024-07-01 08:03:00+00:00,479.93,479.93,479.85,479.85,5022.0
2024-07-01 08:04:00+00:00,479.9,479.9,479.61,479.7,7277.0
2024-07-01 08:05:00+00:00,479.74,479.87,479.74,479.86,1675.0
2024-07-01 08:06:00+00:00,480.02,480.05,480.02,480.05,1038.0
2024-07-01 08:07:00+00:00,480.13,480.13,480.04,480.04,1679.0
2024-07-01 08:08:00+00:00,480.13,480.13,480.04,480.13,794.0
2024-07-01 08:10:00+00:00,480.12,480.12,480.06,480.06,1597.0
2024-07-01 08:11:00+00:00,480.02,480.1,479.96,480.1,4075.0
2024-07-01 08:12:00+00:00,480.01,480.01,480.01,480.01,149.0
2024-07-01 08:13:00+00:00,480.0,480.08,480.0,480.08,2409.0
2024-07-01 08:14:00+00:00,480.0,480.0,480.0,480.0,119.0
2024-07-01 08:15:00+00:00,479.99,479.99,479.99,479.99,481.0
2024-07-01 08:16:00+00:00,479.98,479.98,479.98,479.98,569.0
2024-07-01 08:17:00+00:00,480.05,480.1,480.05,480.1,1520.0
2024-07-01 08:27:00+00:00,480.25,480.3,480.25,480.3,919.0
2024-07-01 08:28:00+00:00,480.19,480.19,480.19,480.19,109.0
2024-07-01 08:33:00+00:00,480.2,480.2,480.2,480.2,376.0
2024-07-01 08:34:00+00:00,480.21,480.21,480.15,480.15,1264.0
2024-07-01 08:37:00+00:00,479.8,479.82,479.72,479.72,1933.0
2024-07-01 08:39:00+00:00,479.49,479.49,479.31,479.31,2875.0
2024-07-01 08:40:00+00:00,479.31,479.31,479.07,479.17,4140.0
2024-07-01 08:41:00+00:00,479.12,479.12,479.0,479.0,640.0
2024-07-01 08:42:00+00:00,479.03,479.03,478.9,478.91,4273.0
2024-07-01 08:43:00+00:00,478.9,479.01,478.9,479.01,1985.0
2024-07-01 08:44:00+00:00,478.87,478.91,478.87,478.91,481.0
2024-07-01 08:45:00+00:00,478.92,479.21,478.92,479.21,4188.0
2024-07-01 08:46:00+00:00,479.22,479.33,479.18,479.33,1050.0
2024-07-01 08:47:00+00:00,479.37,479.49,479.34,479.49,1718.0
2024-07-01 08:49:00+00:00,479.32,479.32,479.32,479.32,522.0
2024-07-01 08:50:00+00:00,479.27,479.27,479.2,479.2,1618.0
2024-07-01 08:52:00+00:00,479.41,479.45,479.4,479.4,596.0
2024-07-01 08:54:00+00:00,479.39,479.39,479.31,479.31,1158.0
2024-07-01 08:55:00+00:00,479.27,479.34,479.27,479.34,2258.0
2024-07-01 08:57:00+00:00,479.3,479.3,479.26,479.26,2845.0
