exit_method,pnl_sum,pnl_mean,pnl_median,pnl_std,slippage_vs_mid_mean,slippage_vs_mid_median,slippage_vs_mid_max,slippage_pct_mean,slippage_pct_median,slippage_pct_max,latency_ms_mean,latency_ms_median,latency_ms_max,success_sum,trade_id_count,win_rate,profit_factor
split_verticals,2573.33,25.73,0.0,59.13,0.51,0.0,4.93,0.22,0.0,1.92,16.81,0.0,137.2,20,100,20.0,0.0
whole_fly,990.15,9.9,4.45,78.37,4.6,4.06,15.19,4.07,4.09,4.99,486.49,476.46,789.64,100,100,53.0,1.3794597935309225
