exit_method,pnl_sum,pnl_mean,pnl_median,pnl_std,slippage_vs_mid_mean,slippage_vs_mid_median,slippage_vs_mid_max,slippage_pct_mean,slippage_pct_median,slippage_pct_max,latency_ms_mean,latency_ms_median,latency_ms_max,success_sum,trade_id_count,win_rate,profit_factor
split_verticals,11490.98,114.91,117.48,74.53,4.75,4.39,10.81,2.28,2.25,7.95,0.5,0.33,15.76,100,100,92.0,71.87319497389716
whole_fly,1943.31,19.43,19.29,83.81,4.9,4.5,17.75,4.0,4.03,4.96,507.85,524.67,798.62,100,100,56.00000000000001,1.7849336358597474
